id,smoking
159256,0.47
159257,0.1
159258,0.6
159259,0.14
159260,0.58
159261,0.81
159262,0.39
159263,0.23
159264,0.12
159265,0.16
159266,0.41
159267,0.21
159268,0.09
159269,0.18
159270,0.07
159271,0.77
159272,0.84
159273,0.83
159274,0.16
159275,0.36
159276,0.55
159277,0.95
159278,0.62
159279,0.87
159280,0.08
159281,0.67
159282,0.78
159283,0.59
159284,0.74
159285,0.06
159286,0.9
159287,0.09
159288,0.15
159289,0.81
159290,0.81
159291,0.32
159292,0.15
159293,0.29
159294,0.1
159295,0.5
159296,0.79
159297,0.04
159298,0.21
159299,0.07
159300,0.15
159301,0.1
159302,0.15
159303,0.17
159304,0.35
159305,0.71
159306,0.58
159307,0.37
159308,0.48
159309,0.07
159310,0.44
159311,0.75
159312,0.27
159313,0.76
159314,0.63
159315,0.69
159316,0.15
159317,0.36
159318,0.51
159319,0.56
159320,0.94
159321,0.17
159322,0.24
159323,0.77
159324,0.27
159325,0.69
159326,0.89
159327,0.59
159328,0.23
159329,0.34
159330,0.11
159331,0.85
159332,0.09
159333,0.02
159334,0.45
159335,0.18
159336,0.36
159337,0.34
159338,0.2
159339,0.78
159340,0.34
159341,0.81
159342,0.88
159343,0.36
159344,0.21
159345,0.11
159346,0.3
159347,0.84
159348,0.58
159349,0.09
159350,0.23
159351,0.66
159352,0.23
159353,0.16
159354,0.06
159355,0.96
159356,0.95
159357,0.78
159358,0.4
159359,0.34
159360,0.12
159361,0.79
159362,0.15
159363,0.49
159364,0.73
159365,0.33
159366,0.09
159367,0.4
159368,0.29
159369,0.65
159370,0.48
159371,0.37
159372,0.28
159373,0.56
159374,0.7
159375,0.98
159376,0.67
159377,0.04
159378,0.94
159379,0.26
159380,0.22
159381,0.05
159382,0.39
159383,0.08
159384,0.64
159385,0.16
159386,0.69
159387,0.82
159388,0.5
159389,0.03
159390,0.84
159391,0.35
159392,0.63
159393,0.05
159394,0.4
159395,0.58
159396,0.72
159397,0.59
159398,0.87
159399,0.92
159400,0.55
159401,0.3
159402,0.08
159403,0.24
159404,0.73
159405,0.1
159406,0.5
159407,0.04
159408,0.06
159409,0.91
159410,0.72
159411,1.0
159412,0.78
159413,0.48
159414,0.37
159415,0.24
159416,0.28
159417,0.33
159418,0.65
159419,0.18
159420,0.65
159421,0.35
159422,0.32
159423,0.16
159424,0.1
159425,0.68
159426,0.2
159427,0.14
159428,0.07
159429,0.1
159430,0.15
159431,0.62
159432,0.15
159433,0.11
159434,0.3
159435,0.49
159436,0.66
159437,0.26
159438,0.61
159439,0.39
159440,0.19
159441,0.82
159442,0.43
159443,0.15
159444,0.04
159445,0.74
159446,0.58
159447,0.7
159448,0.78
159449,0.53
159450,0.05
159451,0.73
159452,0.61
159453,0.14
159454,0.34
159455,0.38
159456,0.03
159457,0.91
159458,0.51
159459,0.32
159460,0.35
159461,0.42
159462,0.31
159463,0.07
159464,0.8
159465,0.43
159466,0.31
159467,0.55
159468,0.95
159469,0.58
159470,0.78
159471,0.62
159472,0.52
159473,0.18
159474,0.38
159475,0.19
159476,0.18
159477,0.15
159478,0.77
159479,0.15
159480,0.2
159481,0.35
159482,0.86
159483,0.06
159484,0.22
159485,0.11
159486,0.46
159487,0.26
159488,0.76
159489,0.18
159490,0.5
159491,0.99
159492,0.15
159493,0.72
159494,0.04
159495,0.06
159496,0.85
159497,0.19
159498,0.53
159499,0.53
159500,0.28
159501,0.59
159502,0.49
159503,0.15
159504,0.47
159505,0.1
159506,0.71
159507,0.73
159508,0.61
159509,0.95
159510,0.22
159511,0.03
159512,0.19
159513,0.7
159514,0.17
159515,0.63
159516,0.65
159517,0.11
159518,0.06
159519,0.23
159520,0.2
159521,0.94
159522,0.74
159523,0.09
159524,0.91
159525,0.04
159526,0.32
159527,0.1
159528,0.43
159529,0.89
159530,0.84
159531,0.2
159532,0.84
159533,0.9
159534,0.33
159535,0.41
159536,0.21
159537,0.63
159538,0.86
159539,0.92
159540,0.06
159541,0.65
159542,0.52
159543,0.13
159544,0.62
159545,1.0
159546,0.58
159547,0.4
159548,0.51
159549,0.16
159550,0.06
159551,0.55
159552,0.55
159553,0.3
159554,0.08
159555,0.89
159556,0.81
159557,0.77
159558,0.14
159559,0.6
159560,0.1
159561,0.96
159562,0.98
159563,0.2
159564,0.04
159565,0.26
159566,0.31
159567,0.51
159568,0.62
159569,0.14
159570,0.38
159571,0.16
159572,0.57
159573,0.07
159574,0.83
159575,0.17
159576,0.37
159577,0.45
159578,0.6
159579,0.07
159580,0.68
159581,0.09
159582,0.21
159583,0.88
159584,0.4
159585,0.46
159586,0.31
159587,0.61
159588,0.73
159589,0.43
159590,0.93
159591,0.56
159592,0.07
159593,0.57
159594,0.22
159595,0.33
159596,0.92
159597,0.29
159598,0.06
159599,0.12
159600,0.05
159601,0.63
159602,0.31
159603,0.64
159604,0.37
159605,0.4
159606,0.06
159607,0.06
159608,0.96
159609,0.67
159610,0.06
159611,0.07
159612,0.34
159613,0.66
159614,0.09
159615,0.07
159616,0.06
159617,0.16
159618,0.69
159619,0.14
159620,0.61
159621,0.53
159622,0.79
159623,0.76
159624,0.07
159625,0.26
159626,0.13
159627,0.77
159628,0.27
159629,0.78
159630,0.08
159631,0.49
159632,0.31
159633,0.1
159634,0.8
159635,0.16
159636,0.07
159637,0.18
159638,0.24
159639,0.14
159640,0.2
159641,0.47
159642,0.19
159643,0.58
159644,0.29
159645,0.56
159646,0.05
159647,0.36
159648,0.54
159649,0.3
159650,0.91
159651,0.79
159652,0.31
159653,0.17
159654,0.24
159655,0.41
159656,0.46
159657,0.54
159658,0.07
159659,0.06
159660,0.38
159661,0.28
159662,0.75
159663,0.52
159664,0.1
159665,0.44
159666,0.65
159667,0.09
159668,0.61
159669,0.69
159670,0.08
159671,0.67
159672,0.37
159673,0.49
159674,0.5
159675,0.92
159676,0.03
159677,0.46
159678,0.34
159679,0.16
159680,0.86
159681,0.3
159682,0.51
159683,0.31
159684,0.35
159685,0.37
159686,0.08
159687,0.05
159688,0.97
159689,0.16
159690,0.53
159691,0.69
159692,0.97
159693,0.68
159694,0.61
159695,0.04
159696,0.07
159697,0.14
159698,0.21
159699,0.48
159700,0.43
159701,0.77
159702,0.76
159703,0.15
159704,0.41
159705,0.1
159706,0.39
159707,0.46
159708,0.76
159709,0.94
159710,0.79
159711,0.92
159712,0.73
159713,0.31
159714,0.18
159715,0.72
159716,0.52
159717,0.09
159718,0.27
159719,0.09
159720,0.64
159721,0.71
159722,0.39
159723,0.22
159724,0.08
159725,0.62
159726,0.13
159727,0.02
159728,0.12
159729,1.0
159730,0.26
159731,0.64
159732,0.11
159733,0.36
159734,0.44
159735,0.05
159736,0.53
159737,0.55
159738,0.08
159739,0.17
159740,0.81
159741,0.44
159742,0.31
159743,0.76
159744,0.87
159745,0.77
159746,0.27
159747,0.15
159748,0.25
159749,0.55
159750,0.8
159751,0.09
159752,0.29
159753,0.74
159754,0.69
159755,0.74
159756,0.2
159757,0.41
159758,0.82
159759,0.12
159760,0.99
159761,0.33
159762,0.46
159763,0.16
159764,0.79
159765,0.24
159766,0.28
159767,0.56
159768,0.92
159769,0.27
159770,0.8
159771,0.05
159772,0.33
159773,0.33
159774,0.28
159775,0.25
159776,0.24
159777,0.53
159778,0.46
159779,0.53
159780,0.32
159781,0.55
159782,0.06
159783,0.37
159784,0.52
159785,0.06
159786,0.82
159787,0.21
159788,0.12
159789,0.16
159790,0.12
159791,0.77
159792,0.57
159793,0.44
159794,0.61
159795,0.22
159796,0.55
159797,0.54
159798,0.38
159799,0.02
159800,0.09
159801,0.1
159802,0.95
159803,0.59
159804,0.24
159805,0.22
159806,0.86
159807,0.79
159808,0.04
159809,0.58
159810,0.05
159811,0.1
159812,0.18
159813,0.95
159814,0.34
159815,0.89
159816,0.64
159817,0.29
159818,0.04
159819,0.86
159820,0.15
159821,0.13
159822,0.59
159823,0.1
159824,0.85
159825,0.61
159826,0.59
159827,0.17
159828,0.1
159829,0.07
159830,0.32
159831,0.65
159832,0.53
159833,0.46
159834,0.11
159835,0.95
159836,0.06
159837,0.61
159838,0.03
159839,0.47
159840,0.85
159841,0.84
159842,0.49
159843,0.64
159844,0.79
159845,0.1
159846,0.53
159847,0.49
159848,0.27
159849,0.65
159850,0.09
159851,0.52
159852,0.26
159853,0.14
159854,0.73
159855,0.41
159856,0.28
159857,0.51
159858,0.82
159859,0.09
159860,0.83
159861,0.12
159862,0.02
159863,0.52
159864,0.15
159865,0.01
159866,0.51
159867,0.41
159868,0.85
159869,0.38
159870,0.76
159871,0.13
159872,0.43
159873,0.45
159874,0.23
159875,0.56
159876,0.84
159877,0.1
159878,0.59
159879,0.69
159880,0.62
159881,0.16
159882,0.66
159883,0.5
159884,0.54
159885,0.44
159886,0.59
159887,0.22
159888,0.37
159889,0.93
159890,0.55
159891,0.95
159892,0.29
159893,0.09
159894,0.78
159895,0.71
159896,0.66
159897,0.2
159898,0.86
159899,0.7
159900,0.16
159901,0.17
159902,0.33
159903,0.32
159904,0.12
159905,0.12
159906,0.8
159907,0.56
159908,0.63
159909,0.05
159910,0.56
159911,0.62
159912,0.59
159913,0.25
159914,0.17
159915,0.51
159916,0.06
159917,0.21
159918,0.19
159919,0.7
159920,0.21
159921,0.58
159922,0.17
159923,0.24
159924,0.71
159925,0.55
159926,0.96
159927,0.58
159928,0.18
159929,0.47
159930,0.24
159931,0.39
159932,0.03
159933,0.24
159934,0.28
159935,0.25
159936,0.67
159937,0.07
159938,0.83
159939,0.61
159940,0.72
159941,0.51
159942,0.61
159943,0.18
159944,0.06
159945,0.74
159946,0.79
159947,0.16
159948,0.33
159949,0.82
159950,0.78
159951,0.1
159952,0.63
159953,0.05
159954,0.55
159955,0.04
159956,0.78
159957,0.85
159958,0.42
159959,0.37
159960,0.63
159961,0.57
